Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand
ENSBTAG00000049036	13	74018502	74019935	-1
ENSBTAG00000046704	13	74033030	74034898	1
ENSBTAG00000013950	13	74106673	74114980	1
ENSBTAG00000006096	13	74145319	74155090	-1
ENSBTAG00000003335	13	42691095	42699689	-1
ENSBTAG00000045630	13	74209350	74209544	-1
ENSBTAG00000053661	13	74222899	74227610	-1
ENSBTAG00000049782	13	74243020	74247603	-1
ENSBTAG00000009881	13	42738786	42757351	1
ENSBTAG00000053439	13	74282623	74301585	-1
ENSBTAG00000017328	13	74295476	74300845	1
ENSBTAG00000026119	13	74331314	74343568	1
ENSBTAG00000004625	13	42775506	42811085	1
ENSBTAG00000013928	13	74360635	74367977	1
ENSBTAG00000051997	13	74378712	74400024	-1
ENSBTAG00000001420	13	42813204	42879226	-1
ENSBTAG00000001495	13	74405924	74413345	-1
ENSBTAG00000039490	13	74420722	74429097	-1
ENSBTAG00000039071	13	42879702	42893359	1
ENSBTAG00000035572	13	42904959	42906399	1
ENSBTAG00000005316	13	42926081	42955333	1
ENSBTAG00000030802	13	74448288	74450485	-1
ENSBTAG00000017587	13	74452456	74491900	-1
ENSBTAG00000030796	13	74460038	74461201	1
ENSBTAG00000030798	13	74462999	74473574	1
ENSBTAG00000030800	13	74476374	74477539	-1
ENSBTAG00000016742	13	74551350	74564779	-1
ENSBTAG00000016743	13	74564888	74587020	1
ENSBTAG00000019197	13	42953008	43022328	-1
ENSBTAG00000016746	13	74586517	74593327	1
ENSBTAG00000018805	13	43031397	43046767	1
ENSBTAG00000013854	13	43143556	43144390	1
ENSBTAG00000007648	13	43160605	43186863	-1
ENSBTAG00000046725	13	74596935	74599856	-1
ENSBTAG00000051238	13	74603457	74608558	1
ENSBTAG00000017740	13	43204874	43215099	1
ENSBTAG00000020371	13	74608944	74621591	-1
ENSBTAG00000035696	13	43220975	43225655	-1
ENSBTAG00000000958	13	74621353	74639617	1
ENSBTAG00000000959	13	74640691	74643705	1
ENSBTAG00000000960	13	74644447	74645479	-1
ENSBTAG00000000961	13	74646008	74648793	-1
ENSBTAG00000027337	13	74649200	74655766	1
ENSBTAG00000039722	13	43289239	43296959	1
ENSBTAG00000039356	13	43372229	43385119	1
ENSBTAG00000000559	13	74654889	74665860	-1
ENSBTAG00000037509	13	43393448	43407848	1
ENSBTAG00000010126	13	74686117	74698084	1
ENSBTAG00000017938	13	43419524	43424890	1
ENSBTAG00000039643	13	43480015	43491625	1
ENSBTAG00000010130	13	74698317	74716421	-1
ENSBTAG00000020676	13	74746976	74754303	1
ENSBTAG00000014179	13	74766798	74795844	1
ENSBTAG00000014186	13	74797673	74824936	-1
ENSBTAG00000022571	13	43578475	43587393	1
ENSBTAG00000020736	13	74842191	74853116	1
ENSBTAG00000022564	13	43616999	43626832	1
ENSBTAG00000054144	13	43636224	43637708	1
ENSBTAG00000039289	13	43643187	43665142	1
ENSBTAG00000021368	13	43687837	43711282	1
ENSBTAG00000005672	13	74896588	74980777	-1
ENSBTAG00000022570	13	43733438	43753829	-1
ENSBTAG00000003635	13	75079067	75089137	-1
ENSBTAG00000003639	13	75092070	75130281	-1
ENSBTAG00000027419	13	43770425	43784086	1
ENSBTAG00000037453	13	43804270	43821591	1
ENSBTAG00000038260	13	43870665	43881668	-1
ENSBTAG00000047336	13	75227064	75231292	-1
ENSBTAG00000027327	13	75242561	75249138	-1
ENSBTAG00000000873	13	75255202	75339020	-1
ENSBTAG00000015188	13	44597240	44605699	1
ENSBTAG00000049772	13	44820304	44821053	-1
ENSBTAG00000027326	13	75358504	75363411	-1
ENSBTAG00000002942	13	75368025	75380832	1
ENSBTAG00000002685	13	45081151	45107887	1
ENSBTAG00000002683	13	45107041	45161102	-1
ENSBTAG00000013336	13	75584898	75761781	1
ENSBTAG00000013114	13	75774888	75899044	-1
ENSBTAG00000014194	13	46039122	46276680	1
ENSBTAG00000054346	13	46282318	46282629	-1
ENSBTAG00000000683	13	46289405	46322491	-1
ENSBTAG00000004075	13	46325275	46328399	1
ENSBTAG00000014917	13	46331627	46346321	-1
ENSBTAG00000013899	13	46389229	46478656	1
ENSBTAG00000051962	13	46454449	46454850	-1
ENSBTAG00000007489	13	76036719	76152407	1
ENSBTAG00000006531	13	46527612	46818194	1
ENSBTAG00000007490	13	76156611	76282301	-1
ENSBTAG00000002578	13	46836953	46913156	-1
ENSBTAG00000015609	13	76841312	77021815	-1
ENSBTAG00000048903	13	47039699	47058759	1
ENSBTAG00000050866	13	47056079	47056465	-1
ENSBTAG00000007120	13	77097708	77181348	1
ENSBTAG00000011010	13	47086007	47091045	1
ENSBTAG00000017346	13	47134626	47157586	-1
ENSBTAG00000005957	13	77193956	77229841	1
ENSBTAG00000032366	13	47209404	47348038	-1
ENSBTAG00000006063	13	47421389	47429786	-1
ENSBTAG00000000241	13	77236072	77278921	-1
ENSBTAG00000051252	13	77248232	77249575	1
ENSBTAG00000006065	13	47430406	47436478	-1
ENSBTAG00000006671	13	77328694	77345950	1
ENSBTAG00000020166	13	77348734	77374973	-1
ENSBTAG00000006066	13	47441800	47498715	1
ENSBTAG00000020668	13	47546444	47547502	-1
ENSBTAG00000015872	13	47550275	47558426	-1
ENSBTAG00000027320	13	77465721	77576217	-1
ENSBTAG00000008293	13	47720768	47778950	-1
ENSBTAG00000017537	13	77588007	77640794	-1
ENSBTAG00000053443	13	77678234	77680698	-1
ENSBTAG00000012626	13	77734050	77810241	-1
ENSBTAG00000014048	13	47916971	48028742	1
ENSBTAG00000011782	13	48069187	48084157	1
ENSBTAG00000001314	13	48110221	48120755	-1
ENSBTAG00000008969	13	77899042	77969755	1
ENSBTAG00000018063	13	77982558	77993066	-1
ENSBTAG00000014623	13	48123958	48166976	1
ENSBTAG00000027317	13	78003747	78017910	1
ENSBTAG00000000065	13	48186875	48209791	1
ENSBTAG00000014554	13	78036327	78042585	1
ENSBTAG00000000066	13	48213047	48233309	-1
ENSBTAG00000027316	13	78115178	78143441	-1
ENSBTAG00000010135	13	78152923	78178452	-1
ENSBTAG00000020465	13	48251375	48312017	-1
ENSBTAG00000049867	13	78188851	78191024	-1
ENSBTAG00000051972	13	78205757	78206803	1
ENSBTAG00000006616	13	78534152	78594854	1
ENSBTAG00000005111	13	49151441	49185579	1
ENSBTAG00000012297	13	78599932	78674899	-1
ENSBTAG00000007199	13	50547036	50548392	-1
ENSBTAG00000021601	13	78706958	78721688	1
ENSBTAG00000038929	13	78751887	78808970	1
ENSBTAG00000000340	13	78817785	78845570	-1
ENSBTAG00000007721	13	78852506	78869898	-1
ENSBTAG00000049509	13	78870212	78871579	1
ENSBTAG00000019811	13	50564351	50715147	-1
ENSBTAG00000003398	13	78918165	78934954	-1
ENSBTAG00000019504	13	50910836	50932861	1
ENSBTAG00000001112	13	50950179	50985484	-1
ENSBTAG00000018270	13	79245983	79384839	-1
ENSBTAG00000007922	13	51228908	51267554	1
ENSBTAG00000050318	13	51267058	51269279	1
ENSBTAG00000007920	13	51276263	51306156	-1
ENSBTAG00000053268	13	51301837	51304939	-1
ENSBTAG00000013545	13	51338286	51351094	-1
ENSBTAG00000054341	13	51352365	51353906	-1
ENSBTAG00000007962	13	79436295	79557537	-1
ENSBTAG00000008439	13	51378950	51383204	-1
ENSBTAG00000003101	13	79567590	79583485	-1
ENSBTAG00000008436	13	51395118	51404718	-1
ENSBTAG00000045784	13	51417094	51419830	1
ENSBTAG00000006578	13	51422410	51425980	1
ENSBTAG00000018735	13	51430650	51443752	1
ENSBTAG00000053699	13	79807410	79820699	-1
ENSBTAG00000001512	13	79847778	79882148	-1
ENSBTAG00000018732	13	51444141	51461167	-1
ENSBTAG00000027412	13	51472347	51472805	1
ENSBTAG00000013167	13	51487257	51505680	1
ENSBTAG00000013163	13	51512829	51523330	1
ENSBTAG00000007917	13	80866302	81066805	1
ENSBTAG00000030556	13	81116533	81153629	-1
ENSBTAG00000000835	13	81424938	81524746	-1
ENSBTAG00000013160	13	51526771	51531465	1
ENSBTAG00000002765	13	81592182	81610449	-1
ENSBTAG00000008812	13	81632576	81644895	1
ENSBTAG00000003848	13	51545361	51731772	-1
ENSBTAG00000047975	13	81893784	82044527	1
ENSBTAG00000003494	13	51791839	51961386	1
ENSBTAG00000027409	13	51975288	51986307	1
ENSBTAG00000017524	13	83249954	83257947	-1
ENSBTAG00000013776	13	51988372	52001677	-1
ENSBTAG00000013753	13	52004036	52014649	1
ENSBTAG00000020454	13	52028270	52039191	1
ENSBTAG00000015379	13	52039801	52087687	1
ENSBTAG00000051021	13	52039857	52050006	1
ENSBTAG00000008027	13	52102351	52104369	1
ENSBTAG00000008026	13	52113970	52114880	-1
ENSBTAG00000000825	13	52129502	52131796	-1
ENSBTAG00000049511	13	52132544	52133071	-1
ENSBTAG00000011425	13	52139610	52310545	-1
ENSBTAG00000048414	13	52164355	52165256	-1
ENSBTAG00000001320	13	52319463	52347540	-1
ENSBTAG00000003863	13	52347705	52352814	1
ENSBTAG00000021816	13	52365287	52365742	-1
ENSBTAG00000021817	13	52366497	52367078	-1
ENSBTAG00000011458	13	52381587	52390072	1
ENSBTAG00000050499	13	52407159	52409863	-1
ENSBTAG00000037757	13	52422074	52479404	-1
ENSBTAG00000052166	13	52498831	52499253	-1
ENSBTAG00000018813	13	52514469	52519429	1
ENSBTAG00000018812	13	52519428	52524691	-1
ENSBTAG00000018811	13	52539174	52640959	-1
ENSBTAG00000001038	13	52666467	52675560	1
ENSBTAG00000037464	13	52698860	52728425	-1
ENSBTAG00000001785	13	52793538	52836265	-1
ENSBTAG00000003561	13	52981969	53025264	-1
ENSBTAG00000045520	13	53134683	53148819	1
ENSBTAG00000007213	13	53196957	53240508	-1
ENSBTAG00000048087	13	53345822	53359460	1
ENSBTAG00000051981	13	53374968	53410238	1
ENSBTAG00000039520	13	53431673	53469664	1
ENSBTAG00000054594	13	53505053	53517410	1
ENSBTAG00000011638	13	53538138	53538619	1
ENSBTAG00000054447	13	53548961	53553855	-1
ENSBTAG00000027221	13	53574804	53575268	1
ENSBTAG00000019984	13	53589805	53606654	1
ENSBTAG00000031715	13	53650816	53668895	-1
ENSBTAG00000006352	13	53682431	53743786	-1
ENSBTAG00000047704	13	53773881	53774891	1
ENSBTAG00000049473	13	53778465	53793176	-1
ENSBTAG00000021423	13	53789271	53794699	1
ENSBTAG00000021837	13	53798671	53804656	1
ENSBTAG00000021836	13	53804253	53812586	-1
ENSBTAG00000011662	13	53823431	53825284	1
ENSBTAG00000011656	13	53832190	53871572	-1
ENSBTAG00000011655	13	53872334	53877893	1
ENSBTAG00000011646	13	53879286	53887495	1
ENSBTAG00000015798	13	53890853	53902116	1
ENSBTAG00000015796	13	53907615	53936817	-1
ENSBTAG00000021232	13	53939530	53955455	-1
ENSBTAG00000031906	13	53957078	53958761	-1
ENSBTAG00000016667	13	53979453	54027412	1
ENSBTAG00000016664	13	54030667	54033391	-1
ENSBTAG00000007498	13	54034397	54047311	-1
ENSBTAG00000007501	13	54034397	54036045	-1
ENSBTAG00000007497	13	54047439	54053613	1
ENSBTAG00000027407	13	54054302	54055810	-1
ENSBTAG00000021096	13	54056133	54076535	-1
ENSBTAG00000038974	13	54079478	54089223	1
ENSBTAG00000014769	13	54101587	54112865	1
ENSBTAG00000027405	13	54115803	54119242	-1
ENSBTAG00000001985	13	54119668	54125427	1
ENSBTAG00000044091	13	54128175	54135496	1
ENSBTAG00000031800	13	54136171	54137886	-1
ENSBTAG00000021685	13	54151514	54159711	1
ENSBTAG00000003030	13	54187005	54214516	1
ENSBTAG00000031764	13	54235833	54238433	-1
ENSBTAG00000017198	13	54242438	54258140	1
ENSBTAG00000004582	13	54262435	54283294	-1
ENSBTAG00000004916	13	54287348	54297677	-1
ENSBTAG00000051598	13	54307824	54308334	1
ENSBTAG00000004911	13	54318945	54322245	-1
ENSBTAG00000010383	13	54332554	54344491	1
ENSBTAG00000010873	13	54422583	54423251	1
ENSBTAG00000001829	13	54445511	54460268	-1
ENSBTAG00000001827	13	54464648	54470909	-1
ENSBTAG00000006002	13	54471197	54521148	1
ENSBTAG00000046520	13	54528121	54545401	1
ENSBTAG00000015581	13	54546013	54550357	-1
ENSBTAG00000031718	13	54566977	54575829	-1
ENSBTAG00000031716	13	54576866	54581460	-1
ENSBTAG00000021727	13	54606948	54658859	-1
ENSBTAG00000016388	13	54671725	54695783	-1
ENSBTAG00000024139	13	436254	437174	1
ENSBTAG00000024891	13	485440	486354	-1
ENSBTAG00000051498	13	494096	514937	-1
ENSBTAG00000035323	13	680566	739284	-1
ENSBTAG00000008338	13	933264	1794219	1
ENSBTAG00000013116	13	2304288	2503503	1
ENSBTAG00000007977	13	2540227	2553000	1
ENSBTAG00000017679	13	2564282	2782083	-1
ENSBTAG00000035199	13	2981378	2981575	-1
ENSBTAG00000019726	13	3251954	3279640	1
ENSBTAG00000008323	13	3478001	3561819	1
ENSBTAG00000034987	13	3683719	3707178	-1
ENSBTAG00000051621	13	3730112	3926394	1
ENSBTAG00000012817	13	3939809	3984202	-1
ENSBTAG00000049787	13	3951649	3953238	1
ENSBTAG00000048432	13	5455770	5474367	1
ENSBTAG00000014252	13	6598913	6750081	1
ENSBTAG00000017188	13	6817156	6909116	1
ENSBTAG00000021614	13	6988403	7250848	-1
ENSBTAG00000007130	13	7321092	7387380	-1
ENSBTAG00000004302	13	7387520	7413038	1
ENSBTAG00000020120	13	7424797	7503259	-1
ENSBTAG00000048850	13	7552589	7651153	1
ENSBTAG00000003319	13	7894630	7899756	-1
ENSBTAG00000034441	13	9649910	9878797	1
ENSBTAG00000000939	13	10069353	10418278	-1
ENSBTAG00000027506	13	10562627	10576213	1
ENSBTAG00000000516	13	10585742	10589026	1
ENSBTAG00000050355	13	10632108	10647980	-1
ENSBTAG00000000686	13	10697268	10705509	1
ENSBTAG00000023169	13	10758600	10817097	1
ENSBTAG00000017012	13	10822457	10835395	1
ENSBTAG00000026320	14	508418	512819	1
ENSBTAG00000013901	14	67893306	67960782	-1
ENSBTAG00000001522	14	67963955	67981692	1
ENSBTAG00000053637	14	523820	525625	1
ENSBTAG00000046026	14	533918	538406	1
ENSBTAG00000001521	14	67986645	67991355	1
ENSBTAG00000007687	14	68058424	68075722	1
ENSBTAG00000043970	14	69055330	69078021	1
ENSBTAG00000019581	14	69174130	69194614	-1
ENSBTAG00000008355	14	542386	556837	1
ENSBTAG00000007570	14	69265371	69301594	-1
ENSBTAG00000055158	14	69402340	69412215	1
ENSBTAG00000011064	14	556020	570498	-1
ENSBTAG00000004906	14	69448183	69460811	1
ENSBTAG00000000857	14	578057	580805	-1
ENSBTAG00000004902	14	69460845	69505807	-1
ENSBTAG00000000856	14	580951	583957	1
ENSBTAG00000035158	14	584956	586597	1
ENSBTAG00000050112	14	594540	600190	1
ENSBTAG00000026356	14	603813	612791	1
ENSBTAG00000013621	14	69526133	69588076	-1
ENSBTAG00000021838	14	69602149	69660461	-1
ENSBTAG00000020751	14	613328	634349	-1
ENSBTAG00000003789	14	69781691	69846027	1
ENSBTAG00000009811	14	634453	652447	1
ENSBTAG00000009816	14	646600	648020	-1
ENSBTAG00000000632	14	69858330	69976418	1
ENSBTAG00000014458	14	652785	702430	-1
ENSBTAG00000024984	14	69906195	69910872	1
ENSBTAG00000007596	14	70066731	70080523	1
ENSBTAG00000039978	14	709459	712018	1
ENSBTAG00000039705	14	712202	715270	-1
ENSBTAG00000000658	14	720987	723829	-1
ENSBTAG00000021964	14	70104355	70207101	1
ENSBTAG00000012242	14	728324	732756	-1
ENSBTAG00000051469	14	728512	729027	1
ENSBTAG00000012235	14	732964	737292	1
ENSBTAG00000012232	14	738124	740518	-1
ENSBTAG00000014610	14	750608	753850	-1
ENSBTAG00000014607	14	755134	757010	-1
ENSBTAG00000017281	14	765421	774581	1
ENSBTAG00000000199	14	70358934	70367406	-1
ENSBTAG00000044190	14	70467827	70513787	-1
ENSBTAG00000015040	14	774643	776724	-1
ENSBTAG00000026350	14	778853	806391	-1
ENSBTAG00000000312	14	826740	830066	-1
ENSBTAG00000013408	14	70555362	70558316	1
ENSBTAG00000009677	14	832766	839743	1
ENSBTAG00000013405	14	70563223	70588594	-1
ENSBTAG00000011922	14	839972	896647	1
ENSBTAG00000047532	14	71303539	71417926	1
ENSBTAG00000045727	14	940689	955681	1
ENSBTAG00000008079	14	961099	968482	1
ENSBTAG00000037493	14	972914	986379	1
ENSBTAG00000008421	14	987039	1006477	1
ENSBTAG00000048486	14	1006976	1027840	-1
ENSBTAG00000038682	14	1025239	1039266	1
ENSBTAG00000017339	14	72301543	72458757	1
ENSBTAG00000019864	14	1040716	1066536	-1
ENSBTAG00000040360	14	1058869	1060642	1
ENSBTAG00000045791	14	1071877	1073361	-1
ENSBTAG00000052472	14	1088055	1091399	1
ENSBTAG00000034691	14	1094043	1099107	1
ENSBTAG00000032301	14	73063026	73212030	-1
ENSBTAG00000016810	14	1101602	1108734	1
ENSBTAG00000054143	14	73087852	73089282	1
ENSBTAG00000048160	14	1111425	1113356	-1
ENSBTAG00000053113	14	73276047	73280209	-1
ENSBTAG00000014643	14	1113551	1126356	1
ENSBTAG00000003481	14	73283493	73338173	-1
ENSBTAG00000039968	14	73372951	73445265	1
ENSBTAG00000051638	14	73470063	73488856	1
ENSBTAG00000032281	14	73513754	73515454	1
ENSBTAG00000014642	14	1127518	1131606	1
ENSBTAG00000011268	14	73535796	73569953	1
ENSBTAG00000015924	14	73654320	73676317	1
ENSBTAG00000019663	14	73688314	73731818	-1
ENSBTAG00000034613	14	1132386	1136717	1
ENSBTAG00000021474	14	1139890	1146602	-1
ENSBTAG00000013225	14	73748382	73804245	1
ENSBTAG00000013678	14	73814998	73843583	-1
ENSBTAG00000021472	14	1153788	1215120	1
ENSBTAG00000026344	14	1225047	1226102	1
ENSBTAG00000015271	14	73895603	73936735	-1
ENSBTAG00000002104	14	1262194	1269340	-1
ENSBTAG00000053896	14	1288010	1303745	1
ENSBTAG00000048920	14	74134334	74134573	1
ENSBTAG00000006877	14	74381958	74776968	1
ENSBTAG00000049014	14	1306431	1314744	-1
ENSBTAG00000003606	14	1323954	1335463	-1
ENSBTAG00000049125	14	1348153	1350911	-1
ENSBTAG00000011939	14	1359669	1363525	1
ENSBTAG00000017040	14	1422652	1426356	-1
ENSBTAG00000004596	14	1503538	1508569	1
ENSBTAG00000051390	14	75334895	75781689	-1
ENSBTAG00000004595	14	1513837	1542041	-1
ENSBTAG00000051556	14	75552777	75553078	1
ENSBTAG00000054126	14	1550747	1558425	-1
ENSBTAG00000036304	14	75914395	76103436	1
ENSBTAG00000015536	14	76118257	76165972	-1
ENSBTAG00000054483	14	1566634	1595335	1
ENSBTAG00000037824	14	1600604	1604607	-1
ENSBTAG00000050161	14	1605169	1620670	1
ENSBTAG00000034498	14	1655470	1658189	1
ENSBTAG00000015734	14	76178740	76212523	1
ENSBTAG00000005762	14	1669738	1672645	1
ENSBTAG00000016210	14	1683800	1686606	1
ENSBTAG00000016209	14	1689941	1691031	1
ENSBTAG00000005063	14	1694331	1697806	-1
ENSBTAG00000047022	14	1703032	1704595	-1
ENSBTAG00000055204	14	1722022	1723608	1
ENSBTAG00000021639	14	1741249	1743574	1
ENSBTAG00000026340	14	1763961	1785316	1
ENSBTAG00000015720	14	76218264	76322858	-1
ENSBTAG00000021092	14	76530194	76586635	-1
ENSBTAG00000006385	14	1797368	1862330	-1
ENSBTAG00000009974	14	1902552	2019963	1
ENSBTAG00000046121	14	76962714	76967783	1
ENSBTAG00000017733	14	76994568	77012297	-1
ENSBTAG00000015214	14	77028978	77038971	-1
ENSBTAG00000032236	14	77144212	77154651	1
ENSBTAG00000046739	14	2499408	2515881	1
ENSBTAG00000036116	14	77194036	77205021	1
ENSBTAG00000051812	14	77255350	77264902	1
ENSBTAG00000046467	14	2553480	2585780	-1
ENSBTAG00000050186	14	2558511	2564019	-1
ENSBTAG00000015985	14	2615166	2616251	1
ENSBTAG00000001000	14	77321661	77371770	-1
ENSBTAG00000008597	14	2652445	2715564	1
ENSBTAG00000032227	14	77391292	77396787	1
ENSBTAG00000009378	14	77397439	77402800	-1
ENSBTAG00000055110	14	77403243	77433037	-1
ENSBTAG00000006132	14	2711735	2775154	-1
ENSBTAG00000003338	14	77440753	77485090	-1
ENSBTAG00000048675	14	77490560	77496783	-1
ENSBTAG00000040461	14	77497195	77515623	-1
ENSBTAG00000038798	14	77517729	77534020	-1
ENSBTAG00000009578	14	2844134	3037063	1
ENSBTAG00000017717	14	77668311	77921529	-1
ENSBTAG00000053138	14	77955130	78133378	-1
ENSBTAG00000046821	14	78646008	78649802	1
ENSBTAG00000001579	14	3055942	3138226	1
ENSBTAG00000019639	14	80762499	80798452	1
ENSBTAG00000004792	14	80824602	80853922	-1
ENSBTAG00000003588	14	80864110	80888123	1
ENSBTAG00000020523	14	80891013	80892329	1
ENSBTAG00000011709	14	80902821	80922354	1
ENSBTAG00000013165	14	80982673	81117148	-1
ENSBTAG00000015333	14	81173271	81261605	-1
ENSBTAG00000049935	14	81242019	81243509	1
ENSBTAG00000015338	14	81263986	81276602	-1
ENSBTAG00000015341	14	81286703	81439669	1
ENSBTAG00000020226	14	3153138	3156593	-1
ENSBTAG00000013955	14	3200372	3587738	1
ENSBTAG00000013369	14	81512830	81729606	1
ENSBTAG00000047488	14	3615121	3712832	1
ENSBTAG00000006767	14	81745762	81824127	-1
ENSBTAG00000006770	14	81787034	81863369	1
ENSBTAG00000044126	14	81871605	82123649	-1
ENSBTAG00000018218	14	4388017	4643810	1
ENSBTAG00000007302	14	82359771	82387445	1
ENSBTAG00000002181	14	6400724	6544685	-1
ENSBTAG00000017731	14	7126583	7265632	1
ENSBTAG00000001156	14	7865552	7951420	1
ENSBTAG00000000711	14	8073208	8129604	1
ENSBTAG00000000707	14	8137189	8169248	-1
ENSBTAG00000007823	14	8217490	8453614	-1
ENSBTAG00000007828	14	8250306	8315788	1
ENSBTAG00000006869	14	8470928	8543137	-1
ENSBTAG00000017138	14	8558256	8587613	1
ENSBTAG00000010548	14	8601623	8672683	1
ENSBTAG00000020667	14	8738181	9029965	1
ENSBTAG00000034196	14	9051285	9075583	1
ENSBTAG00000007736	14	9074043	9111806	1
ENSBTAG00000047834	14	9114129	9202434	-1
ENSBTAG00000003838	14	9720375	9721103	1
ENSBTAG00000014600	14	9754216	9979380	1
ENSBTAG00000003185	14	10295954	10604312	1
ENSBTAG00000020801	14	10694730	10778921	1
ENSBTAG00000052291	14	10774197	10775600	-1
ENSBTAG00000017478	14	10798273	10815142	-1
ENSBTAG00000050216	14	11212931	11217245	-1
ENSBTAG00000008409	14	12653173	12658366	-1
ENSBTAG00000052622	14	13749726	13791785	-1
ENSBTAG00000050469	14	13752507	13755288	-1
ENSBTAG00000026172	14	13920655	13925713	1
ENSBTAG00000023179	14	14779050	14787206	-1
ENSBTAG00000009394	14	14849669	15081008	-1
ENSBTAG00000010275	14	15092454	15141282	1
ENSBTAG00000005498	14	15144664	15167777	-1
ENSBTAG00000009072	14	15178243	15192599	-1
ENSBTAG00000020407	14	15383762	15553664	1
ENSBTAG00000020405	14	15553533	15560939	-1
ENSBTAG00000033446	14	15560985	15592470	1
ENSBTAG00000020399	14	15593322	15607732	-1
ENSBTAG00000020398	14	15616492	15618384	-1
ENSBTAG00000022114	14	15675525	15719449	1
ENSBTAG00000013537	14	15865228	15995482	-1
ENSBTAG00000048373	14	15914441	15917042	1
ENSBTAG00000005025	14	16074868	16112829	-1
ENSBTAG00000048822	14	16143324	16159205	1
ENSBTAG00000005585	14	16165840	16200097	1
ENSBTAG00000016754	14	16228870	16241271	1
ENSBTAG00000049478	14	16327058	16335278	-1
ENSBTAG00000016194	14	16328949	16361047	1
ENSBTAG00000009916	14	16424755	16442926	-1
ENSBTAG00000051782	14	16454611	16479839	1
ENSBTAG00000002002	14	16473279	16519326	1
ENSBTAG00000015334	14	16534435	16557231	1
ENSBTAG00000015319	14	16566090	16583706	1
ENSBTAG00000005877	14	16588055	16609466	-1
ENSBTAG00000021156	14	16631171	16698112	-1
ENSBTAG00000020693	14	16714564	16738151	1
ENSBTAG00000026309	14	16772152	16792577	-1
ENSBTAG00000019892	14	18093101	18125211	1
ENSBTAG00000009474	14	18983844	18996140	1
ENSBTAG00000054983	14	19025959	19028261	-1
ENSBTAG00000040351	14	19106847	19109491	-1
ENSBTAG00000046307	14	19128179	19129773	1
ENSBTAG00000044106	14	19129765	19406228	-1
ENSBTAG00000017016	14	19419742	19420794	-1
ENSBTAG00000017019	14	19424288	19551028	-1
ENSBTAG00000017021	14	19551601	19563221	1
ENSBTAG00000023218	14	19592402	19612714	1
ENSBTAG00000008693	14	19817531	19828829	-1
ENSBTAG00000013227	14	19941415	19945016	-1
ENSBTAG00000038286	14	19981881	19986371	1
ENSBTAG00000027760	14	20253827	20255382	-1
ENSBTAG00000002448	14	20398321	20699673	1
ENSBTAG00000017492	14	21013842	21062048	-1
ENSBTAG00000005560	14	21160085	21250282	-1
ENSBTAG00000048814	14	21311839	21313696	-1
ENSBTAG00000000878	14	21493003	21523152	-1
ENSBTAG00000016159	14	21608255	21609250	1
ENSBTAG00000000914	14	21713331	21737924	-1
ENSBTAG00000003450	14	21853750	21901839	-1
ENSBTAG00000054835	14	21898905	21899208	1
ENSBTAG00000003454	14	21903677	21955373	1
ENSBTAG00000003460	14	21961033	21989950	-1
ENSBTAG00000004243	14	21994932	22011297	-1
ENSBTAG00000001174	14	22017167	22023197	1
ENSBTAG00000052277	14	22093129	22095768	-1
ENSBTAG00000005748	14	22229596	22232109	1
ENSBTAG00000011203	14	22335447	22344612	1
ENSBTAG00000044050	14	22640221	22953771	1
ENSBTAG00000005893	14	23034280	23070124	-1
ENSBTAG00000005898	14	23070145	23095949	1
ENSBTAG00000020034	14	23134995	23244752	1
ENSBTAG00000019147	14	23278316	23279689	-1
ENSBTAG00000019145	14	23299177	23300199	-1
ENSBTAG00000004022	14	23330541	23375751	-1
ENSBTAG00000049910	14	23376061	23383133	1
ENSBTAG00000054153	14	23395823	23397050	-1
ENSBTAG00000018570	14	23428404	23441042	-1
ENSBTAG00000040321	14	23475942	23502005	-1
ENSBTAG00000004924	14	23542370	23546868	-1
ENSBTAG00000015637	14	23867153	23883121	-1
ENSBTAG00000050550	14	24365744	24432635	1
ENSBTAG00000047136	14	24496775	24496930	1
ENSBTAG00000009138	14	24587138	24624435	1
ENSBTAG00000005287	14	24664833	24675169	-1
ENSBTAG00000019910	14	24728895	24763264	1
ENSBTAG00000008958	14	24765312	24830983	-1
ENSBTAG00000004954	14	24946881	25258596	-1
ENSBTAG00000054521	14	25804210	25805643	-1
ENSBTAG00000017529	14	25956319	26038333	-1
ENSBTAG00000000948	14	26181071	26253265	1
ENSBTAG00000021841	14	26361178	26487977	1
ENSBTAG00000043978	14	26854867	27012590	1
ENSBTAG00000026283	14	27016060	27203495	-1
ENSBTAG00000054400	14	27737786	27998050	1
ENSBTAG00000007534	14	28047727	28070375	-1
ENSBTAG00000022471	14	28074682	28104548	-1
ENSBTAG00000018557	14	28141155	28204989	1
ENSBTAG00000055090	14	29113789	29116036	-1
ENSBTAG00000001299	14	29199622	29460150	-1
ENSBTAG00000033173	14	29274588	29275673	1
ENSBTAG00000015901	14	30000050	30024834	-1
ENSBTAG00000008629	14	30039506	30098890	1
ENSBTAG00000011614	14	30111614	30127822	-1
ENSBTAG00000055026	14	30146796	30162307	-1
ENSBTAG00000015229	14	30355171	30448182	1
ENSBTAG00000021009	14	30469248	30495868	1
ENSBTAG00000033128	14	30517937	30519618	-1
ENSBTAG00000016716	14	30687060	30688821	1
ENSBTAG00000004476	14	30690619	30723593	1
ENSBTAG00000002192	14	30748671	30774944	1
