Ohno1	Ohno2	Symbol1	Symbol2	Og weighted global mean	Self weighted global mean	Outgroup Support	Duplication time	Gene type
ENSBTAG00000016514	ENSBTAG00000012237	CPE	AEBP1	0.00219553993729989	6.46004159331496e-08	2	Vertebrata	protein_coding
ENSBTAG00000040347	ENSBTAG00000015996	GPC6	GPC1	1.21686606138731e-06	3.40896735380861e-24	3	Vertebrata	protein_coding
ENSBTAG00000012079	ENSBTAG00000014930	MYLK4	MYLK2	0.00335370287249755	2.24058114312511e-16	3	Vertebrata	protein_coding
ENSBTAG00000016166	ENSBTAG00000039530	ENSBTAG00000016166	NEFM	0.00138624861475263	0.000183254914152517	2	Vertebrata	protein_coding
ENSBTAG00000005439	ENSBTAG00000023851	FAM102B	FAM102A	1.19123863527305e-09	2.5299444353796e-33	5	Vertebrata	protein_coding
ENSBTAG00000011170	ENSBTAG00000000951	JAKMIP1	JAKMIP3	1.58811771157072e-06	3.01169512690868e-10	1	Vertebrata	protein_coding
ENSBTAG00000019719	ENSBTAG00000047704	OPRM1	NPBWR2	0.000308079655807656	3.35772587901652e-06	2	Vertebrata	protein_coding
ENSBTAG00000048057	ENSBTAG00000020756	GSK3B	ENSBTAG00000020756	0.000623980815108878	2.10414955122116e-06	3	Vertebrata	protein_coding
ENSBTAG00000038896	ENSBTAG00000046531	RPS26	ENSBTAG00000046531	0.0251917873834655	0.00564079664739175	4	Younger	protein_coding
ENSBTAG00000014663	ENSBTAG00000006879	HOXB13	HOXC11	0.0323129040421108	1.99191588577003e-27	1	Vertebrata	protein_coding
ENSBTAG00000020705	ENSBTAG00000003020	PRSS12	SSC4D	0.00178932180946391	0.0611407521459147	1	Vertebrata	protein_coding
ENSBTAG00000016254	ENSBTAG00000003808	HDAC5	HDAC9	0.000104710157052718	5.20842405516224e-33	4	Vertebrata	protein_coding
ENSBTAG00000020127	ENSBTAG00000003758	TKTL1	TKT	3.46540085509165e-09	4.95640939760558e-24	4	Vertebrata	protein_coding
ENSBTAG00000020458	ENSBTAG00000016352	STX6	STX10	0.00626317337247609	0.00245314640055906	4	Vertebrata	protein_coding
ENSBTAG00000016378	ENSBTAG00000047062	LRP10	LRP3	0.000829505647649691	2.48973206524078e-07	2	Vertebrata	protein_coding
ENSBTAG00000008089	ENSBTAG00000022288	AMMECR1L	AMMECR1	0.00121052458900179	2.25567334890331e-08	4	Vertebrata	protein_coding
ENSBTAG00000002066	ENSBTAG00000018369	MYL7	MYL2	1.36397745574677e-08	0.0179818212197371	4	Vertebrata	protein_coding
ENSBTAG00000011582	ENSBTAG00000002187	ENSBTAG00000011582	SERINC3	8.76118999212576e-10	3.70901962955867e-21	5	Vertebrata	protein_coding
ENSBTAG00000023929	ENSBTAG00000006194	FOSL2	FOSL1	1.0849261764856e-08	2.67914071282851e-07	4	Vertebrata	protein_coding
ENSBTAG00000017797	ENSBTAG00000038048	ENSBTAG00000017797	MRC1	0.00584804652483242	4.46963529707977e-23	1	Vertebrata	protein_coding
ENSBTAG00000022715	ENSBTAG00000003020	DMBT1	SSC4D	0.015789994443378	0.00751588431829375	1	Vertebrata	protein_coding
ENSBTAG00000013614	ENSBTAG00000034867	TMEM38A	TMEM38B	2.26450167905708e-06	4.67332555116022e-24	4	Vertebrata	protein_coding
ENSBTAG00000000541	ENSBTAG00000011312	NKX2-1	NKX2-4	0.035337179153896	1.50771043146328e-08	3	Vertebrata	protein_coding
ENSBTAG00000011975	ENSBTAG00000004362	SERPINB1	SERPINC1	1.64225215863391e-06	0.0027918546934763	1	Vertebrata	protein_coding
ENSBTAG00000017354	ENSBTAG00000017536	MPP7	MPP3	0.000406241253824295	3.47693402313891e-34	3	Vertebrata	protein_coding
ENSBTAG00000003845	ENSBTAG00000010928	CSRNP1	CSRNP2	7.44937311376506e-08	3.84721643558107e-14	3	Vertebrata	protein_coding
ENSBTAG00000015043	ENSBTAG00000040361	MFNG	LFNG	1.52109709367025e-09	2.68103532007627e-23	4	Vertebrata	protein_coding
ENSBTAG00000037929	ENSBTAG00000006903	ADAM28	ENSBTAG00000006903	0.0374657011181869	0.167750421401115	4	Vertebrata	protein_coding
ENSBTAG00000033801	ENSBTAG00000005367	VRK2	VRK3	8.55091418146471e-08	5.4868953527413e-05	5	Vertebrata	protein_coding
ENSBTAG00000019249	ENSBTAG00000007866	HS3ST6	ENSBTAG00000007866	0.000483320797973215	4.41460237528003e-24	4	Vertebrata	protein_coding
ENSBTAG00000046797	ENSBTAG00000009778	NRAS	KRAS	0.00254193683286897	4.67028976610249e-17	2	Vertebrata	protein_coding
ENSBTAG00000034005	ENSBTAG00000026307	ZNF35	ZNF629	0.0190615105707949	0.0677931734951089	1	Vertebrata	protein_coding
ENSBTAG00000000219	ENSBTAG00000023369	GRIN2B	GRIN2D	0.00126364538364965	3.27237643937851e-09	3	Vertebrata	protein_coding
ENSBTAG00000011601	ENSBTAG00000016506	ST3GAL5	ST3GAL4	0.0133923480358545	0.000879810163755129	2	Vertebrata	protein_coding
ENSBTAG00000017158	ENSBTAG00000014538	VSNL1	HPCAL4	1.16926961161546e-09	2.52919067096491e-28	2	Vertebrata	protein_coding
ENSBTAG00000010799	ENSBTAG00000009707	MYL6	MYL1	2.14529109550877e-13	2.12064820483549e-15	4	Vertebrata	protein_coding
ENSBTAG00000038865	ENSBTAG00000003460	TCEA3	TCEA1	3.69119924600352e-09	1.49447250305924e-13	5	Vertebrata	protein_coding
ENSBTAG00000016744	ENSBTAG00000011759	CAPRIN1	C1QL1	0.0277690422549006	0.0601257567223785	1	Vertebrata	protein_coding
ENSBTAG00000017147	ENSBTAG00000030674	AK3	AK4	9.55398005085282e-17	3.47989317063705e-23	5	Vertebrata	protein_coding
ENSBTAG00000005726	ENSBTAG00000021580	HNRNPA2B1	HNRNPA3	0.00376756973327975	1.04093392965747e-18	4	Vertebrata	protein_coding
ENSBTAG00000047362	ENSBTAG00000021799	RCN1	RCN3	0.003287657385843	6.8698398085729e-06	5	Vertebrata	protein_coding
ENSBTAG00000001250	ENSBTAG00000020426	TFAP2A	TFAP2B	8.45755166064981e-05	1.5195387290111e-11	1	Vertebrata	protein_coding
ENSBTAG00000002097	ENSBTAG00000018811	TMC5	TMC2	0.000299517457035086	2.87629434242553e-05	2	Vertebrata	protein_coding
ENSBTAG00000017443	ENSBTAG00000018839	ENSBTAG00000017443	AWAT1	0.00253864598431924	2.49544968641935e-10	3	Vertebrata	protein_coding
ENSBTAG00000021445	ENSBTAG00000017896	ST8SIA4	ST8SIA2	1.18072517688094e-08	1.91635823397249e-29	1	Vertebrata	protein_coding
ENSBTAG00000017395	ENSBTAG00000003434	CERS5	CERS4	0.00676829594524308	0.00539499637612647	2	Vertebrata	protein_coding
ENSBTAG00000018984	ENSBTAG00000006909	PIK3CD	PIK3CB	1.70954092570527e-14	9.18868822108507e-24	4	Vertebrata	protein_coding
ENSBTAG00000014179	ENSBTAG00000016236	SLC12A5	SLC12A6	0.000266515162659286	0.000287587999421	4	Vertebrata	protein_coding
ENSBTAG00000002033	ENSBTAG00000006533	UBXN2A	NSFL1C	2.24004179316604e-14	1.71663288519415e-20	5	Vertebrata	protein_coding
ENSBTAG00000001659	ENSBTAG00000010492	ENSBTAG00000001659	VPS4B	9.59757622965172e-05	5.09696169603176e-22	3	Vertebrata	protein_coding
ENSBTAG00000000914	ENSBTAG00000047704	OPRK1	NPBWR2	0.000506471364052422	3.74106300098172e-39	2	Vertebrata	protein_coding
ENSBTAG00000004881	ENSBTAG00000043960	MTHFD2	MTHFD2L	7.54797279028635e-06	1.28610378276997e-08	3	Vertebrata	protein_coding
ENSBTAG00000015191	ENSBTAG00000020070	ABCC6	ABCC3	1.00942412139831e-09	3.82384076710469e-22	4	Vertebrata	protein_coding
ENSBTAG00000018993	ENSBTAG00000017060	ITGB7	ITGB2	1.53554859691752e-06	3.3033215306207e-11	4	Vertebrata	protein_coding
ENSBTAG00000009338	ENSBTAG00000000415	LRRC7	ERBB2IP	6.85066392826733e-05	1.00950900075295e-25	2	Vertebrata	protein_coding
ENSBTAG00000017885	ENSBTAG00000002467	FAM173B	FAM173A	0.0198149629681484	0.0164229418111273	3	Vertebrata	protein_coding
ENSBTAG00000014828	ENSBTAG00000020887	CACNA1A	CACNA1E	4.41754976537885e-06	9.45040140475471e-17	3	Vertebrata	protein_coding
ENSBTAG00000016221	ENSBTAG00000018945	AMOT	AMOTL1	0.00100731609950001	1.76346950157466e-20	2	Vertebrata	protein_coding
ENSBTAG00000046398	ENSBTAG00000003818	ENSBTAG00000046398	PGC	4.09201235756354e-05	0.000380693768877288	2	Vertebrata	protein_coding
ENSBTAG00000007120	ENSBTAG00000014691	ARFGEF2	ARFGEF1	8.25924550593906e-07	4.01501481187036e-43	4	Vertebrata	protein_coding
ENSBTAG00000006280	ENSBTAG00000020125	RBFOX3	RBFOX2	5.52826329532447e-06	3.35909565863618e-19	5	Vertebrata	protein_coding
ENSBTAG00000019915	ENSBTAG00000005432	GSN	CAPG	0.0060648466933564	0.000140718656658684	3	Vertebrata	protein_coding
ENSBTAG00000001333	ENSBTAG00000008063	PPARG	PPARA	5.24697235392988e-06	2.21181965601078e-27	4	Vertebrata	protein_coding
ENSBTAG00000011762	ENSBTAG00000031696	ANKRD52	ANKRD44	0.0413935571579237	1.0080459552032e-21	2	Vertebrata	protein_coding
ENSBTAG00000021457	ENSBTAG00000018123	EFEMP2	FBLN5	0.00618599501137578	6.16653971788319e-12	5	Vertebrata	protein_coding
ENSBTAG00000022826	ENSBTAG00000009750	RAX	RAX2	0.0442407148373714	0.0189156529136478	2	Vertebrata	protein_coding
ENSBTAG00000047199	ENSBTAG00000013899	ENSBTAG00000047199	LARP4B	4.38916717725283e-10	1.79850665072196e-12	4	Vertebrata	protein_coding
ENSBTAG00000017455	ENSBTAG00000039171	ADAM9	ADAM7	9.14617479515538e-05	0.00115132102463091	3	Vertebrata	protein_coding
ENSBTAG00000011135	ENSBTAG00000032132	ENSBTAG00000011135	ELL3	0.0001090830103812	1.96099906965314e-10	3	Vertebrata	protein_coding
ENSBTAG00000011784	ENSBTAG00000020034	FGR	LYN	0.0470969046108462	1.6249997898372e-05	3	Vertebrata	protein_coding
ENSBTAG00000001634	ENSBTAG00000016958	PHF1	PHF19	6.37296199595502e-08	9.32263709738421e-06	4	Vertebrata	protein_coding
ENSBTAG00000018206	ENSBTAG00000020213	NIPAL2	NIPAL4	0.0319036095894554	0.109437090590381	2	Vertebrata	protein_coding
ENSBTAG00000047701	ENSBTAG00000013141	ACTRT1	ACTRT3	0.0497977402627733	8.24948629187355e-13	3	Vertebrata	protein_coding
ENSBTAG00000008492	ENSBTAG00000007167	ZMYM3	ZMYM5	0.0262005456798804	7.49268101509964e-28	1	Vertebrata	protein_coding
ENSBTAG00000000773	ENSBTAG00000045604	ENSBTAG00000000773	TTC9	1.81028809138983e-08	2.82532895189486e-12	1	Vertebrata	protein_coding
ENSBTAG00000012265	ENSBTAG00000005261	VWF	FCGBP	0.0387428859068839	3.97780382038207e-05	1	Vertebrata	protein_coding
ENSBTAG00000035705	ENSBTAG00000003116	MTMR8	MTMR6	1.68175577176869e-05	1.74731855330645e-23	4	Vertebrata	protein_coding
ENSBTAG00000012600	ENSBTAG00000031523	GTF3A	ENSBTAG00000031523	0.000216789896096953	1.24348789363693e-07	2	Vertebrata	protein_coding
ENSBTAG00000007826	ENSBTAG00000005799	KIRREL2	KIRREL	3.21190367945696e-05	0.000105991587428762	4	Vertebrata	protein_coding
ENSBTAG00000005033	ENSBTAG00000046273	FAM57B	FAM57A	0.0125218080388487	2.77099947158887e-07	1	Vertebrata	protein_coding
ENSBTAG00000004680	ENSBTAG00000008788	SLC13A5	SLC13A2	1.23875467610649e-08	1.69322939377753e-12	1	Vertebrata	protein_coding
ENSBTAG00000012262	ENSBTAG00000001425	FBXO10	FBXO11	0.000267424228756151	9.92145203011e-05	3	Vertebrata	protein_coding
ENSBTAG00000011382	ENSBTAG00000012507	SLC9A3R1	PDZD3	0.0124578322413353	1.15929166640283e-05	2	Vertebrata	protein_coding
ENSBTAG00000003103	ENSBTAG00000009522	EIF4E1B	EIF4E	5.26912633145264e-11	3.41153356757797e-24	5	Vertebrata	protein_coding
ENSBTAG00000025848	ENSBTAG00000047652	RBM3	ENSBTAG00000047652	0.0194534809381017	0.0312210092807149	2	Vertebrata	protein_coding
ENSBTAG00000011584	ENSBTAG00000040000	CHST2	ENSBTAG00000040000	6.08183174063602e-06	0.0504998376790394	3	Vertebrata	protein_coding
ENSBTAG00000014333	ENSBTAG00000005925	SLC10A3	SLC10A2	0.0391380034934218	4.72269464366284e-11	2	Vertebrata	protein_coding
ENSBTAG00000004313	ENSBTAG00000014663	HOXD13	HOXB13	1.2324818248673e-15	3.43995137950926e-30	2	Vertebrata	protein_coding
ENSBTAG00000014530	ENSBTAG00000007235	NTNG1	NTNG2	2.02011329498533e-07	7.26998010418062e-32	4	Vertebrata	protein_coding
ENSBTAG00000014239	ENSBTAG00000005269	CCNB1	CCNB2	1.11832084387745e-06	1.40713611366068e-11	4	Vertebrata	protein_coding
ENSBTAG00000005476	ENSBTAG00000020393	METTL21A	METTL21C	0.00293440274861869	1.88938046556636e-07	3	Vertebrata	protein_coding
ENSBTAG00000046277	ENSBTAG00000013849	RGS4	RGS13	0.009428017356954	6.31830858946362e-05	3	Vertebrata	protein_coding
ENSBTAG00000020157	ENSBTAG00000012281	ENSBTAG00000020157	AWAT2	0.00671676127489419	0.00815802840798788	2	Vertebrata	protein_coding
ENSBTAG00000006082	ENSBTAG00000010445	DNASE2	DNASE2B	0.0459560280563578	2.32876911886176e-10	2	Vertebrata	protein_coding
ENSBTAG00000039335	ENSBTAG00000020060	ARRDC2	TXNIP	2.51250499620123e-17	3.65610010842137e-08	2	Vertebrata	protein_coding
ENSBTAG00000010360	ENSBTAG00000002227	LRIG1	LRIG3	4.62781068045843e-10	3.24035323743196e-25	5	Vertebrata	protein_coding
ENSBTAG00000017729	ENSBTAG00000013716	NR2C1	NR2C2	4.45898821792664e-13	6.04398095166192e-28	5	Vertebrata	protein_coding
ENSBTAG00000020769	ENSBTAG00000019473	OPCML	IGLON5	4.79626436248823e-06	2.14111976275238e-09	4	Vertebrata	protein_coding
ENSBTAG00000021576	ENSBTAG00000018071	LMOD1	TMOD4	0.0029814800048095	0.00188581956511605	2	Vertebrata	protein_coding
ENSBTAG00000015008	ENSBTAG00000019190	CPA3	CPO	0.000278021636059563	5.02277607811692e-05	2	Vertebrata	protein_coding
ENSBTAG00000043954	ENSBTAG00000005299	NMBR	EDNRB	0.0377424145950781	0.0569290022579268	1	Vertebrata	protein_coding
ENSBTAG00000032453	ENSBTAG00000040155	ENSBTAG00000032453	HIST2H4A	0.0225001672603808	0.00456867977653425	4	Vertebrata	protein_coding
ENSBTAG00000006471	ENSBTAG00000009194	OSBPL11	OSBPL10	0.000229943351305694	4.43824248871624e-19	2	Vertebrata	protein_coding
ENSBTAG00000014543	ENSBTAG00000001814	PLXNA4	PLXND1	1.10188867598962e-05	0.0156943676350428	1	Older	protein_coding
ENSBTAG00000015230	ENSBTAG00000009350	PLA2G12A	PLA2G12B	0.0202400747284329	1.36993862876119e-29	2	Vertebrata	protein_coding
ENSBTAG00000046648	ENSBTAG00000015008	CPA4	CPA3	5.84012810293582e-05	0.0101734692322759	2	Vertebrata	protein_coding
ENSBTAG00000009654	ENSBTAG00000004652	LPAR1	LPAR2	0.0166611929731254	4.86631405747661e-07	1	Vertebrata	protein_coding
ENSBTAG00000005726	ENSBTAG00000009937	HNRNPA2B1	ENSBTAG00000009937	0.0349109423411409	0.137697185418698	3	Vertebrata	protein_coding
ENSBTAG00000039161	ENSBTAG00000012054	ALDH3A2	ALDH3B2	6.31451054750745e-06	0.0229997459015607	5	Vertebrata	protein_coding
ENSBTAG00000002145	ENSBTAG00000015059	MMP17	MMP13	0.00823952247728177	9.79872373260535e-07	2	Vertebrata	protein_coding
ENSBTAG00000005359	ENSBTAG00000012004	TGFB2	TGFB3	1.54901012469703e-15	1.19171565862629e-35	4	Vertebrata	protein_coding
ENSBTAG00000031267	ENSBTAG00000004362	SERPINB9	SERPINC1	3.90248618690749e-07	1.97298053293365e-05	1	Vertebrata	protein_coding
ENSBTAG00000005031	ENSBTAG00000025140	DOC2A	DOC2B	0.000132813678539737	3.7557926599888e-07	2	Vertebrata	protein_coding
ENSBTAG00000002178	ENSBTAG00000015106	PPL	DSP	0.0121053882407969	0.0133073708168318	2	Vertebrata	protein_coding
ENSBTAG00000014523	ENSBTAG00000045981	DIRAS2	DIRAS1	2.39991610436381e-08	5.64806164533767e-21	5	Vertebrata	protein_coding
ENSBTAG00000001398	ENSBTAG00000006541	ATP2A2	ATP2A1	2.85222799521499e-13	2.11000658333572e-09	5	Vertebrata	protein_coding
ENSBTAG00000003921	ENSBTAG00000009459	ENSBTAG00000003921	MTCL1	0.000455580331349277	2.35167069533034e-14	3	Vertebrata	protein_coding
ENSBTAG00000009138	ENSBTAG00000006533	UBXN2B	NSFL1C	2.7735582889722e-06	3.10603361341579e-20	5	Vertebrata	protein_coding
ENSBTAG00000018153	ENSBTAG00000008079	NRBP1	NRBP2	3.40095673025055e-06	4.99216526620672e-16	4	Vertebrata	protein_coding
ENSBTAG00000007204	ENSBTAG00000021949	KRT80	NEFL	0.00584286957322066	1.75173607709636e-05	2	Vertebrata	protein_coding
ENSBTAG00000001652	ENSBTAG00000022329	SLCO3A1	ENSBTAG00000022329	0.014355538553374	0.0349636170233336	2	Vertebrata	protein_coding
ENSBTAG00000017851	ENSBTAG00000016801	RXRA	RXRG	8.7076146811163e-19	4.79052389968893e-33	3	Vertebrata	protein_coding
ENSBTAG00000021128	ENSBTAG00000003265	ADD1	ADD3	3.71411162362724e-19	1.3844797122261e-25	1	Vertebrata	protein_coding
ENSBTAG00000007092	ENSBTAG00000013674	GRPR	EDNRA	0.0484398974482314	5.57302321118009e-10	1	Vertebrata	protein_coding
ENSBTAG00000032152	ENSBTAG00000019712	TMPRSS6	ST14	0.000458776166762639	5.80661730397018e-06	1	Vertebrata	protein_coding
ENSBTAG00000031088	ENSBTAG00000000223	ENSBTAG00000031088	PPM1B	1.6402846790388e-12	3.9634237863806e-37	3	Vertebrata	protein_coding
ENSBTAG00000015232	ENSBTAG00000006828	RAPGEFL1	RAPGEF3	0.00181545969282017	4.36440228469456e-18	4	Vertebrata	protein_coding
ENSBTAG00000006037	ENSBTAG00000006367	WISP2	CTGF	0.0244162068442643	1.32693415498811e-12	1	Vertebrata	protein_coding
ENSBTAG00000017911	ENSBTAG00000031197	HMX2	HMX1	1.57968733033607e-05	1.85854995961671e-27	3	Vertebrata	protein_coding
ENSBTAG00000018489	ENSBTAG00000010175	OTOL1	COL8A2	0.01137423140041	0.00027515639202431	2	Vertebrata	protein_coding
ENSBTAG00000019155	ENSBTAG00000009861	FRS2	FRS3	3.63313538431438e-05	7.75267626185342e-23	2	Vertebrata	protein_coding
ENSBTAG00000008192	ENSBTAG00000019031	PLPPR2	PLPPR4	2.56821846929037e-05	5.10700130456415e-23	3	Vertebrata	protein_coding
ENSBTAG00000018527	ENSBTAG00000007872	HDGFRP3	PSIP1	5.92368345355787e-06	1.22868906392109e-12	3	Vertebrata	protein_coding
ENSBTAG00000008329	ENSBTAG00000021658	CYTIP	GRASP	7.51784977641909e-06	7.52775392233454e-26	3	Vertebrata	protein_coding
ENSBTAG00000015611	ENSBTAG00000018951	TBC1D9B	TBC1D9	5.11006318179707e-12	3.93593809091796e-29	3	Vertebrata	protein_coding
ENSBTAG00000010388	ENSBTAG00000034281	MGAT4A	MGAT4D	0.00130964449841784	1.65999294551058e-17	2	Vertebrata	protein_coding
ENSBTAG00000015676	ENSBTAG00000004086	AMBP	SPINT1	0.0208402190275378	0.00473602711328429	1	Chordata	protein_coding
ENSBTAG00000001845	ENSBTAG00000000369	EPS8L3	EPS8	1.78249028214225e-05	4.50620317613479e-16	3	Vertebrata	protein_coding
ENSBTAG00000033721	ENSBTAG00000021099	RLBP1	CLVS2	0.00493586956706864	0.00284768782467556	1	Vertebrata	protein_coding
ENSBTAG00000040349	ENSBTAG00000047200	ENSBTAG00000040349	ENSBTAG00000047200	1.28647053614286e-07	1.47396854279538e-30	2	Vertebrata	protein_coding
ENSBTAG00000006797	ENSBTAG00000021036	MARCH3	MARCH2	2.13598818309671e-06	7.00239495934093e-16	1	Vertebrata	protein_coding
ENSBTAG00000010125	ENSBTAG00000007867	STAT5B	STAT1	0.0033347501771334	3.40949566132719e-29	3	Vertebrata	protein_coding
ENSBTAG00000016166	ENSBTAG00000021949	ENSBTAG00000016166	NEFL	0.0014674854830438	0.00031874340083305	2	Vertebrata	protein_coding
ENSBTAG00000015381	ENSBTAG00000019036	ARHGAP18	ARHGAP28	0.00478572929174175	5.31949528955332e-15	1	Vertebrata	protein_coding
ENSBTAG00000021494	ENSBTAG00000018917	EN1	EN2	2.32011441881339e-10	1.5367132777842e-23	4	Vertebrata	protein_coding
ENSBTAG00000007827	ENSBTAG00000002336	RCOR2	RCOR1	2.67239464247518e-05	2.4972744164815e-15	3	Vertebrata	protein_coding
ENSBTAG00000002962	ENSBTAG00000006081	PPM1M	PPM1J	0.000974683716054116	1.43741441431988e-08	3	Vertebrata	protein_coding
ENSBTAG00000013720	ENSBTAG00000039530	ENSBTAG00000013720	NEFM	0.0108431465231434	0.00551368038186854	2	Vertebrata	protein_coding
ENSBTAG00000011532	ENSBTAG00000044074	MLLT6	MLLT10	2.97923928540286e-09	5.78465147630452e-33	4	Vertebrata	protein_coding
ENSBTAG00000019262	ENSBTAG00000004593	TOP2A	TOP2B	4.75418086171734e-10	3.05130780484169e-27	4	Vertebrata	protein_coding
ENSBTAG00000001771	ENSBTAG00000012509	DYRK1A	DYRK1B	6.68812497794743e-06	1.30761210736994e-05	4	Vertebrata	protein_coding
ENSBTAG00000017504	ENSBTAG00000003935	FAIM2	TMBIM1	2.53966838604351e-07	2.92986550644188e-23	2	Vertebrata	protein_coding
ENSBTAG00000012647	ENSBTAG00000021798	ERBB4	ERBB2	0.0200467641972532	9.4600599249505e-11	4	Vertebrata	protein_coding
ENSBTAG00000007736	ENSBTAG00000047084	ENSBTAG00000007736	ENSBTAG00000047084	0.0141200263270468	1.17164132362304e-06	1	Vertebrata	protein_coding
ENSBTAG00000016183	ENSBTAG00000037576	MARCH4	MARCH11	0.00018319621093292	6.51070515757502e-17	1	Vertebrata	protein_coding
ENSBTAG00000005228	ENSBTAG00000009834	CNGA4	CNGA3	9.61987172385022e-07	1.40124469485007e-07	5	Vertebrata	protein_coding
ENSBTAG00000008028	ENSBTAG00000020931	CHN1	CHN2	2.01094245167967e-05	2.48618406124464e-33	2	Vertebrata	protein_coding
ENSBTAG00000011851	ENSBTAG00000001523	FYN	YES1	1.02489303394047e-07	3.75483767665296e-10	4	Vertebrata	protein_coding
ENSBTAG00000004775	ENSBTAG00000005800	GRIA2	GRIA1	1.67105475361756e-09	8.02059032876118e-24	3	Vertebrata	protein_coding
ENSBTAG00000008699	ENSBTAG00000003476	FEM1C	FEM1A	0.00458738842782059	8.72893349598936e-19	3	Vertebrata	protein_coding
ENSBTAG00000017969	ENSBTAG00000009515	CA4	CA6	0.000732425745967523	3.15505340310389e-05	2	Vertebrata	protein_coding
ENSBTAG00000014992	ENSBTAG00000005299	GPR37L1	EDNRB	0.0217164971616416	0.00632376252182637	1	Vertebrata	protein_coding
ENSBTAG00000024611	ENSBTAG00000003818	ENSBTAG00000024611	PGC	4.4774388985605e-05	0.0003837299988815	2	Vertebrata	protein_coding
ENSBTAG00000013511	ENSBTAG00000040399	VWA5B1	VWA5B2	0.000107805533329705	1.24544268023759e-26	2	Vertebrata	protein_coding
ENSBTAG00000010153	ENSBTAG00000014809	ANXA3	ANXA6	0.00481064605775069	1.61306540685787e-15	2	Vertebrata	protein_coding
ENSBTAG00000039362	ENSBTAG00000048212	ENSBTAG00000039362	ENSBTAG00000048212	1.66676832296064e-08	5.60392075849894e-05	2	Vertebrata	protein_coding
ENSBTAG00000046509	ENSBTAG00000000995	FAM46C	FAM46A	5.25231732387658e-06	5.083654272818e-09	3	Vertebrata	protein_coding
ENSBTAG00000000628	ENSBTAG00000002682	ENSBTAG00000000628	MARK4	5.6377017959606e-12	2.95879450618106e-11	5	Vertebrata	protein_coding
ENSBTAG00000001382	ENSBTAG00000007001	SLC26A9	SLC26A1	0.0175857056700889	0.238956471152674	4	Vertebrata	protein_coding
ENSBTAG00000020667	ENSBTAG00000007791	KCNQ3	KCNQ5	1.49317862143236e-06	3.17745287889458e-21	3	Vertebrata	protein_coding
ENSBTAG00000017512	ENSBTAG00000018130	MAPT	MAP2	6.2400053773711e-13	1.07229174267375e-30	4	Vertebrata	protein_coding
ENSBTAG00000017824	ENSBTAG00000047680	IRF8	IRF7	0.00250404217962086	0.00518223149342303	1	Vertebrata	protein_coding
ENSBTAG00000004438	ENSBTAG00000010345	XPNPEP1	XPNPEP2	0.0192012143660139	0.0114745324211638	2	Vertebrata	protein_coding
ENSBTAG00000007235	ENSBTAG00000045625	NTNG2	NTN3	5.3907466183209e-06	0.0164754091170176	2	Vertebrata	protein_coding
ENSBTAG00000039803	ENSBTAG00000003955	MYO7B	MYO7A	6.38212777470462e-06	5.25358457557647e-14	3	Vertebrata	protein_coding
ENSBTAG00000008198	ENSBTAG00000019630	RGL3	RGL1	1.48949047056282e-05	1.54628034088253e-15	3	Vertebrata	protein_coding
ENSBTAG00000007047	ENSBTAG00000020742	FZD10	FZD9	0.0028422269262768	1.07224442595735e-22	2	Vertebrata	protein_coding
ENSBTAG00000035958	ENSBTAG00000019164	ENSBTAG00000035958	RHOBTB1	3.20011159302981e-05	6.08891881313725e-26	1	Vertebrata	protein_coding
ENSBTAG00000003864	ENSBTAG00000000873	SLC13A4	SLC13A3	2.91684743492172e-05	4.39838154926616e-06	4	Vertebrata	protein_coding
ENSBTAG00000001637	ENSBTAG00000016977	FUNDC1	FUNDC2	7.10884669085983e-05	9.71897935705724e-17	2	Vertebrata	protein_coding
ENSBTAG00000021481	ENSBTAG00000009515	CA14	CA6	0.00455674069635604	0.000376827926012993	4	Vertebrata	protein_coding
ENSBTAG00000032623	ENSBTAG00000040496	KCNG3	KCNB2	0.023120337744936	0.00063619503491092	1	Vertebrata	protein_coding
ENSBTAG00000004292	ENSBTAG00000021887	CRMP1	DPYS	0.000755289930057879	0.0732623651619119	2	Vertebrata	protein_coding
ENSBTAG00000017446	ENSBTAG00000016931	E2F8	E2F7	6.02800225979331e-08	1.91157638741642e-27	3	Vertebrata	protein_coding
ENSBTAG00000008645	ENSBTAG00000010392	ESRRA	ESRRG	1.15621501258018e-05	1.98872892108612e-06	2	Vertebrata	protein_coding
ENSBTAG00000037616	ENSBTAG00000006902	KCNJ6	KCNJ5	4.43065185822767e-05	3.00068034360684e-30	3	Vertebrata	protein_coding
ENSBTAG00000007705	ENSBTAG00000002430	COLEC12	COL17A1	0.0349003594878265	0.0205963526366187	1	Vertebrata	protein_coding
ENSBTAG00000002010	ENSBTAG00000006492	PI4K2A	ENSBTAG00000006492	1.57645889948929e-19	8.78727549486849e-19	5	Vertebrata	protein_coding
ENSBTAG00000018577	ENSBTAG00000009171	SLC7A1	ENSBTAG00000009171	1.60283422274965e-05	2.42612076618786e-37	3	Vertebrata	protein_coding
ENSBTAG00000010065	ENSBTAG00000009405	TRPC5	TRPC4	0.00344251309793751	1.03193085884126e-31	2	Vertebrata	protein_coding
ENSBTAG00000025621	ENSBTAG00000045772	ENSBTAG00000025621	ENSBTAG00000045772	3.23270592339592e-07	6.57184350973463e-22	3	Vertebrata	protein_coding
