	Ensembl Gene ID	affectedTissues	expressedTissues	Chromosome Name	Gene Start (bp)	Gene End (bp)	Strand	propOfExpressedAffectedByeQTL	CNV
1729	ENSG00000169184	8.0	48	22	28144265	28197486	-1	0.16666666666666666	Y
1730	ENSG00000151962	6.0	13	4	155702365	155749965	1	0.46153846153846156	N
1731	ENSG00000144036	48.0	48	2	72403113	73053170	-1	1.0	N
1732	ENSG00000105329	33.0	48	19	41807492	41859816	-1	0.6875	N
1733	ENSG00000079246	48.0	48	2	216972187	217071026	1	1.0	Y
1734	ENSG00000221983	48.0	48	19	18682540	18688360	1	1.0	N
1735	ENSG00000103202	48.0	48	16	446725	460367	1	1.0	N
1736	ENSG00000142945	43.0	48	1	45205490	45233439	1	0.8958333333333334	N
1737	ENSG00000103966	48.0	48	15	42190950	42264776	-1	1.0	N
1738	ENSG00000086289	47.0	48	7	37723446	37991543	1	0.9791666666666666	Y
1739	ENSG00000109686	47.0	48	4	152023903	152246784	-1	0.9791666666666666	Y
1740	ENSG00000163660	15.0	48	3	156864297	156878549	-1	0.3125	N
1741	ENSG00000108175	12.0	48	10	80828792	81076276	1	0.25	Y
1742	ENSG00000180957	4.0	48	22	28247657	28316122	-1	0.08333333333333333	N
1743	ENSG00000135469	45.0	48	12	56660642	56664750	1	0.9375	N
1744	ENSG00000095370	4.0	48	9	130500596	130541020	-1	0.08333333333333333	N
1745	ENSG00000167258	2.0	48	17	37617764	37721160	1	0.041666666666666664	Y
1746	ENSG00000131269	39.0	48	X	74273115	74376567	-1	0.8125	N
1747	ENSG00000113249	34.0	35	5	156456424	156486130	-1	0.9714285714285714	N
1748	ENSG00000101199	48.0	48	20	61904137	61921142	1	1.0	N
1749	ENSG00000170430	48.0	48	10	131265448	131566271	1	1.0	Y
1750	ENSG00000242110	48.0	48	5	33986283	34008220	-1	1.0	N
1751	ENSG00000170289	1.0	7	8	87566205	87755903	-1	0.14285714285714285	N
1752	ENSG00000204882	15.0	45	8	142366600	142377367	-1	0.3333333333333333	N
1753	ENSG00000102001	44.0	44	X	49061523	49089833	-1	1.0	N
1754	ENSG00000185149	26.0	30	4	156129781	156138230	1	0.8666666666666667	N
1755	ENSG00000142039	27.0	48	19	41816094	41830788	1	0.5625	N
1756	ENSG00000086288	43.0	43	7	37888199	37940003	1	1.0	Y
1757	ENSG00000183439	42.0	42	4	165875598	165898820	-1	1.0	Y
1758	ENSG00000141294	47.0	48	17	45908993	45915079	1	0.9791666666666666	N
1759	ENSG00000153147	8.0	48	4	144434616	144478639	1	0.16666666666666666	N
1760	ENSG00000197442	33.0	48	6	136878185	137113656	-1	0.6875	N
1761	ENSG00000184489	20.0	48	8	142402093	142441620	1	0.4166666666666667	Y
1762	ENSG00000205148	1.0	2	15	96831280	96831660	-1	0.5	N
1763	ENSG00000137766	15.0	34	15	54305101	54920806	1	0.4411764705882353	Y
1764	ENSG00000250486	46.0	47	4	165878100	165880273	1	0.9787234042553191	Y
1765	ENSG00000197363	48.0	48	8	146024261	146036554	1	1.0	N
1766	ENSG00000023902	22.0	48	1	150121373	150136916	1	0.4583333333333333	N
1767	ENSG00000185551	3.0	48	15	96869167	96883492	1	0.0625	Y
1768	ENSG00000133789	47.0	48	11	9685624	9774538	1	0.9791666666666666	Y
1769	ENSG00000167634	5.0	8	19	55434877	55477680	-1	0.625	Y
1770	ENSG00000184545	32.0	48	11	1575274	1593150	-1	0.6666666666666666	N
1771	ENSG00000110675	31.0	44	11	107461817	107537505	1	0.7045454545454546	N
1772	ENSG00000141646	44.0	48	18	48494410	48611415	1	0.9166666666666666	Y
1773	ENSG00000175376	48.0	48	11	65764016	65769647	-1	1.0	N
1774	ENSG00000164211	48.0	48	5	110831731	110848288	-1	1.0	N
1775	ENSG00000006016	48.0	48	19	18683030	18718551	-1	1.0	N
1776	ENSG00000124469	1.0	15	19	43084393	43099207	-1	0.06666666666666667	N
1777	ENSG00000164114	39.0	48	4	156263810	156298122	-1	0.8125	N
1778	ENSG00000170088	28.0	48	4	165995574	166129701	-1	0.5833333333333334	Y
1779	ENSG00000159147	25.0	48	21	34931848	34961014	-1	0.5208333333333334	Y
1780	ENSG00000138435	12.0	34	2	175612320	175629200	-1	0.35294117647058826	N
1781	ENSG00000074603	46.0	48	15	65734801	65810042	-1	0.9583333333333334	Y
1782	ENSG00000176340	45.0	48	11	63742079	63744015	1	0.9375	N
1783	ENSG00000178199	35.0	48	6	149768794	149806197	-1	0.7291666666666666	Y
1784	ENSG00000154743	48.0	48	3	12525931	12581122	1	1.0	Y
1785	ENSG00000115042	31.0	48	2	96068469	96082364	1	0.6458333333333334	N
1786	ENSG00000198663	48.0	48	6	36839646	36896740	1	1.0	N
1787	ENSG00000169618	5.0	12	2	68870721	68882708	1	0.4166666666666667	N
1788	ENSG00000021461	40.0	42	7	99425636	99463718	1	0.9523809523809523	Y
1789	ENSG00000076604	13.0	48	17	27071002	27077974	1	0.2708333333333333	N
1790	ENSG00000185594	5.0	10	15	97326619	97328845	1	0.5	N
1791	ENSG00000074706	40.0	47	6	154475631	154677926	-1	0.851063829787234	Y
1792	ENSG00000081052	42.0	48	2	227867427	228028829	-1	0.875	Y
1793	ENSG00000242612	48.0	48	16	451826	462487	1	1.0	N
1794	ENSG00000205869	12.0	47	11	1605572	1606513	-1	0.2553191489361702	N
1795	ENSG00000164074	48.0	48	4	128886461	128960866	1	1.0	N
1796	ENSG00000175395	48.0	48	10	38238500	38265561	-1	1.0	N
1797	ENSG00000146966	37.0	46	7	140218220	140373793	-1	0.8043478260869565	Y
1798	ENSG00000152520	16.0	48	13	28712643	28869475	1	0.3333333333333333	Y
1799	ENSG00000006015	23.0	48	19	18699495	18703146	1	0.4791666666666667	N
1800	ENSG00000138795	15.0	48	4	108968701	109090112	-1	0.3125	N
1801	ENSG00000244045	48.0	48	17	26684604	26708716	1	1.0	Y
1802	ENSG00000251209	21.0	22	15	98285448	98417780	-1	0.9545454545454546	N
1803	ENSG00000096401	33.0	48	6	44355262	44418163	1	0.6875	N
1804	ENSG00000168038	48.0	48	3	41288090	42003922	-1	1.0	Y
1805	ENSG00000142046	48.0	48	19	41856816	41889988	1	1.0	Y
1806	ENSG00000140450	21.0	48	15	98462784	98517068	1	0.4375	Y
1807	ENSG00000120088	22.0	34	17	43699267	43913194	1	0.6470588235294118	Y
1808	ENSG00000070886	10.0	23	1	22890057	22930087	1	0.43478260869565216	Y
1809	ENSG00000134115	34.0	35	3	1134260	1445901	1	0.9714285714285714	Y
1810	ENSG00000231500	48.0	48	6	33239787	33244287	1	1.0	N
1811	ENSG00000167770	44.0	48	11	63753325	63769283	1	0.9166666666666666	N
1812	ENSG00000100154	48.0	48	22	28374004	29075853	-1	1.0	Y
1813	ENSG00000175334	48.0	48	11	65769550	65771620	1	1.0	N
1814	ENSG00000224361	7.0	8	2	23729913	23747214	-1	0.875	N
1815	ENSG00000112419	42.0	48	6	143857982	144152322	1	0.875	Y
1816	ENSG00000109466	24.0	48	4	166128770	166244308	1	0.5	N
1817	ENSG00000213658	48.0	48	16	28996147	29002104	1	1.0	N
1818	ENSG00000171357	46.0	47	1	46669006	46686933	1	0.9787234042553191	N
1819	ENSG00000144152	45.0	47	2	112895962	112945791	1	0.9574468085106383	Y
1820	ENSG00000188428	46.0	48	6	8013800	8064647	-1	0.9583333333333334	Y
1821	ENSG00000188626	47.0	47	15	28947100	28983530	-1	1.0	Y
1822	ENSG00000137876	48.0	48	15	55473004	55489265	-1	1.0	N
1823	ENSG00000116030	2.0	48	2	203070903	203103331	-1	0.041666666666666664	N
1824	ENSG00000179104	48.0	48	12	83080659	83528649	1	1.0	Y
1825	ENSG00000133812	36.0	48	11	9800214	10315754	-1	0.75	Y
1826	ENSG00000108826	47.0	48	17	48445218	48450575	-1	0.9791666666666666	N
1827	ENSG00000185087	3.0	32	15	98980391	99057611	-1	0.09375	N
1828	ENSG00000164167	43.0	48	4	147096837	147121152	1	0.8958333333333334	N
1829	ENSG00000119778	31.0	48	2	23971534	24149984	-1	0.6458333333333334	N
1830	ENSG00000105696	15.0	48	19	18718240	18731849	1	0.3125	N
1831	ENSG00000188089	14.0	19	15	42273780	42343388	-1	0.7368421052631579	N
1832	ENSG00000173838	34.0	37	17	60778675	60885705	-1	0.918918918918919	Y
1833	ENSG00000108001	31.0	46	10	131633547	131762105	-1	0.6739130434782609	Y
1834	ENSG00000163219	44.0	48	2	68906733	69053965	1	0.9166666666666666	N
1835	ENSG00000133895	48.0	48	11	64570982	64578766	-1	1.0	N
1836	ENSG00000005302	37.0	48	X	11776278	11793870	1	0.7708333333333334	N
1837	ENSG00000175315	38.0	48	11	65779312	65780976	1	0.7916666666666666	N
1838	ENSG00000135077	29.0	48	5	156512843	156569880	-1	0.6041666666666666	Y
1839	ENSG00000138160	7.0	48	10	94353043	94415150	1	0.14583333333333334	Y
1840	ENSG00000085999	48.0	48	1	46713360	46744145	1	1.0	N
1841	ENSG00000002726	24.0	30	7	150521715	150558592	1	0.8	Y
1842	ENSG00000070031	24.0	27	11	626431	627143	-1	0.8888888888888888	Y
1843	ENSG00000100739	33.0	46	14	96722161	96735304	1	0.717391304347826	N
1844	ENSG00000153822	36.0	44	17	68049570	68131749	1	0.8181818181818182	Y
1845	ENSG00000175294	19.0	43	11	65784223	65793988	-1	0.4418604651162791	N
1846	ENSG00000140443	48.0	48	15	99192200	99507759	1	1.0	N
1847	ENSG00000170290	29.0	48	11	107578104	107590419	-1	0.6041666666666666	N
1848	ENSG00000069696	48.0	48	11	637293	640706	1	1.0	Y
1849	ENSG00000164902	7.0	48	5	125935960	125962944	1	0.14583333333333334	N
1850	ENSG00000115590	29.0	48	2	102608306	102645006	1	0.6041666666666666	Y
1851	ENSG00000163492	26.0	38	2	179694484	179914813	-1	0.6842105263157895	N
1852	ENSG00000124467	2.0	2	19	43256838	43359843	-1	1.0	Y
1853	ENSG00000183323	48.0	48	5	68576002	68628636	-1	1.0	N
1854	ENSG00000241598	4.0	5	11	1642188	1643368	-1	0.8	N
1855	ENSG00000185940	6.0	8	11	1651033	1652160	1	0.75	N
1856	ENSG00000107651	48.0	48	10	121652223	121702014	1	1.0	N
1857	ENSG00000131013	15.0	48	6	149825869	149867174	-1	0.3125	N
1858	ENSG00000066739	11.0	48	14	96747595	96830207	-1	0.22916666666666666	N
1859	ENSG00000129277	47.0	47	17	34430983	34433014	1	1.0	Y
1860	ENSG00000034053	38.0	47	15	29129629	29410518	1	0.8085106382978723	Y
1861	ENSG00000244242	43.0	48	11	1753640	1771821	-1	0.8958333333333334	N
1862	ENSG00000189180	46.0	48	10	38299578	38354016	1	0.9583333333333334	N
1863	ENSG00000168286	22.0	48	16	67876213	67878097	1	0.4583333333333333	N
1864	ENSG00000112242	2.0	48	6	20402398	20493941	1	0.041666666666666664	N
1865	ENSG00000163006	48.0	48	2	109403213	109501933	1	1.0	N
1866	ENSG00000159337	19.0	24	15	42359207	42386752	-1	0.7916666666666666	N
1867	ENSG00000147789	41.0	48	8	146052849	146072894	1	0.8541666666666666	Y
1868	ENSG00000175229	14.0	39	11	65809423	65816651	-1	0.358974358974359	N
1869	ENSG00000090565	8.0	48	16	475619	573011	1	0.16666666666666666	Y
1870	ENSG00000108010	48.0	48	10	131934663	131982785	1	1.0	N
1871	ENSG00000136807	20.0	48	9	130547958	130553066	1	0.4166666666666667	N
1872	ENSG00000110660	48.0	48	11	107661717	107799019	-1	1.0	Y
1873	ENSG00000250673	46.0	46	4	147145709	147150208	1	1.0	N
1874	ENSG00000069974	46.0	48	15	55495164	55611311	-1	0.9583333333333334	N
1875	ENSG00000205758	2.0	48	21	34961647	35016232	-1	0.041666666666666664	N
1876	ENSG00000235863	47.0	48	6	33244917	33252609	1	0.9791666666666666	N
1877	ENSG00000159840	36.0	48	7	143078173	143088204	1	0.75	N
1878	ENSG00000102898	18.0	48	16	67880635	67906470	1	0.375	N
1879	ENSG00000113615	4.0	48	5	133984479	134063513	1	0.08333333333333333	N
1880	ENSG00000107186	47.0	47	9	13105703	13279589	-1	1.0	Y
1881	ENSG00000169031	38.0	48	2	228029281	228179508	1	0.7916666666666666	Y
1882	ENSG00000113522	48.0	48	5	131891711	131980313	1	1.0	N
1883	ENSG00000022556	46.0	46	19	55464498	55512510	1	1.0	Y
1884	ENSG00000177030	37.0	48	11	644233	706715	-1	0.7708333333333334	Y
1885	ENSG00000102755	18.0	48	13	28874489	29069265	-1	0.375	N
1886	ENSG00000250305	46.0	46	8	12803151	12889012	1	1.0	N
1887	ENSG00000227057	48.0	48	6	33246885	33257304	-1	1.0	N
1888	ENSG00000156564	10.0	32	6	40359325	40555204	-1	0.3125	Y
1889	ENSG00000154478	23.0	31	10	125425871	125454123	1	0.7419354838709677	N
1890	ENSG00000120519	48.0	48	4	147175127	147443123	-1	1.0	Y
1891	ENSG00000171532	5.0	20	17	37759789	37766030	-1	0.25	N
1892	ENSG00000174501	47.0	48	2	96514587	96657541	-1	0.9791666666666666	Y
1893	ENSG00000087365	48.0	48	11	65818200	65836779	1	1.0	N
1894	ENSG00000176624	39.0	48	18	48700920	48744674	-1	0.8125	N
1895	ENSG00000185009	42.0	48	10	75881524	75910821	-1	0.875	N
1896	ENSG00000124602	47.0	48	6	40994772	41006928	-1	0.9791666666666666	N
1897	ENSG00000224877	48.0	48	17	79213039	79215081	1	1.0	Y
1898	ENSG00000167080	11.0	11	17	47209822	47247351	1	1.0	Y
1899	ENSG00000164318	45.0	46	5	38258511	38465123	1	0.9782608695652174	N
1900	ENSG00000167487	47.0	48	19	18747775	18781309	1	0.9791666666666666	N
1901	ENSG00000164116	48.0	48	4	156587863	156653501	1	1.0	Y
1902	ENSG00000137221	44.0	48	6	43445261	43474294	1	0.9166666666666666	N
1903	ENSG00000121898	43.0	48	10	125465723	125699783	-1	0.8958333333333334	N
1904	ENSG00000177108	6.0	27	14	77597613	77609077	-1	0.2222222222222222	N
1905	ENSG00000117984	16.0	48	11	1773982	1785222	-1	0.3333333333333333	N
1906	ENSG00000132128	28.0	48	1	46726868	46769280	-1	0.5833333333333334	N
1907	ENSG00000255552	4.0	9	6	31679548	31681842	-1	0.4444444444444444	N
1908	ENSG00000125447	42.0	48	17	73232694	73258444	-1	0.875	N
1909	ENSG00000069943	48.0	48	15	55611158	55647846	1	1.0	N
1910	ENSG00000154920	11.0	48	17	48450581	48458844	1	0.22916666666666666	N
1911	ENSG00000114120	7.0	48	3	140660672	140698775	1	0.14583333333333334	N
1912	ENSG00000269883	11.0	15	14	77607026	77609339	1	0.7333333333333333	N
1913	ENSG00000143401	3.0	48	1	150190717	150208504	-1	0.0625	N
1914	ENSG00000173372	45.0	48	1	22962999	22966101	1	0.9375	N
1915	ENSG00000171094	21.0	38	2	29415640	30144432	-1	0.5526315789473685	Y
1916	ENSG00000188817	1.0	4	3	63638344	63664696	1	0.25	N
1917	ENSG00000109066	47.0	48	17	72772622	72835918	1	0.9791666666666666	Y
1918	ENSG00000123374	16.0	48	12	56360553	56366568	1	0.3333333333333333	N
1919	ENSG00000153721	39.0	47	6	154708638	154831793	-1	0.8297872340425532	Y
1920	ENSG00000163138	48.0	48	4	20697905	20754530	1	1.0	N
1921	ENSG00000198185	47.0	47	20	45129701	45142198	-1	1.0	N
1922	ENSG00000165553	3.0	23	14	77731826	77737655	-1	0.13043478260869565	Y
1923	ENSG00000159189	43.0	48	1	22970123	22974603	1	0.8958333333333334	N
1924	ENSG00000168907	19.0	34	15	42433332	42448839	-1	0.5588235294117647	Y
1925	ENSG00000142459	47.0	48	19	7895119	7929862	1	0.9791666666666666	N
1926	ENSG00000248874	30.0	30	5	23951457	24178372	1	1.0	Y
1927	ENSG00000135637	47.0	48	2	74699113	74710535	-1	0.9791666666666666	N
1928	ENSG00000104059	32.0	44	15	29412457	29862927	-1	0.7272727272727273	Y
1929	ENSG00000231924	2.0	2	19	43370616	43383974	-1	1.0	Y
1930	ENSG00000103326	48.0	48	16	577717	604636	1	1.0	Y
1931	ENSG00000178922	48.0	48	1	43916824	43919660	-1	1.0	N
1932	ENSG00000257599	30.0	30	12	29542227	29640421	1	1.0	Y
1933	ENSG00000092148	6.0	48	14	31569318	31677010	-1	0.125	N
1934	ENSG00000157637	48.0	48	17	79218800	79269347	-1	1.0	Y
1935	ENSG00000038358	2.0	48	16	67906926	67918406	1	0.041666666666666664	N
1936	ENSG00000173369	11.0	48	1	22979255	22988031	1	0.22916666666666666	Y
1937	ENSG00000129566	48.0	48	14	20833826	20881588	-1	1.0	N
1938	ENSG00000183571	41.0	41	15	99511459	99551024	-1	1.0	N
1939	ENSG00000164615	48.0	48	5	134074191	134087847	1	1.0	N
1940	ENSG00000138448	46.0	48	2	187454792	187545628	1	0.9583333333333334	Y
1941	ENSG00000133315	13.0	48	11	63766030	63933578	-1	0.2708333333333333	Y
1942	ENSG00000101203	6.0	25	20	61924538	61966203	1	0.24	N
1943	ENSG00000145491	3.0	48	5	10441636	10472141	1	0.0625	N
1944	ENSG00000179331	6.0	46	11	107799229	107834208	1	0.13043478260869565	N
1945	ENSG00000226490	5.0	14	8	142524738	142528837	1	0.35714285714285715	N
1946	ENSG00000138029	48.0	48	2	26466038	26513336	1	1.0	Y
1947	ENSG00000185261	48.0	48	5	93488671	93954309	-1	1.0	Y
1948	ENSG00000139197	48.0	48	12	7341281	7371170	1	1.0	Y
1949	ENSG00000176834	47.0	48	12	118501398	118573831	-1	0.9791666666666666	Y
1950	ENSG00000185115	28.0	48	15	29560353	29562033	-1	0.5833333333333334	N
1951	ENSG00000131016	14.0	48	6	151561134	151679692	1	0.2916666666666667	Y
1952	ENSG00000176542	3.0	48	3	113367232	113415493	-1	0.0625	N
1953	ENSG00000216937	48.0	48	10	32735068	32863492	1	1.0	Y
1954	ENSG00000075420	11.0	48	3	171757418	172119455	1	0.22916666666666666	Y
1955	ENSG00000163531	33.0	47	1	204797779	204991950	1	0.7021276595744681	N
1956	ENSG00000144161	46.0	48	2	112969102	113012713	-1	0.9583333333333334	N
1957	ENSG00000173660	48.0	48	1	46769303	46782448	1	1.0	N
1958	ENSG00000111275	47.0	48	12	112204691	112247782	1	0.9791666666666666	N
1959	ENSG00000122335	48.0	48	6	158530536	158589312	-1	1.0	Y
1960	ENSG00000052802	3.0	48	4	166248775	166264312	1	0.0625	N
1961	ENSG00000164741	48.0	48	8	12940870	13373167	-1	1.0	Y
1962	ENSG00000109072	29.0	48	17	26691290	26700110	-1	0.6041666666666666	Y
1963	ENSG00000182253	42.0	48	15	99638420	99675798	1	0.875	Y
1964	ENSG00000009830	48.0	48	14	77741299	77787227	-1	1.0	N
1965	ENSG00000171045	48.0	48	8	143293441	143484601	-1	1.0	Y
1966	ENSG00000156535	46.0	48	6	74405508	74538040	1	0.9583333333333334	Y
1967	ENSG00000260916	39.0	48	15	55632230	55700708	-1	0.8125	Y
1968	ENSG00000090372	48.0	48	19	47222764	47250251	-1	1.0	N
1969	ENSG00000055044	45.0	48	2	203130439	203168389	1	0.9375	N
1970	ENSG00000144619	37.0	45	3	2140497	3099645	1	0.8222222222222222	Y
1971	ENSG00000121579	16.0	48	3	113435307	113465147	-1	0.3333333333333333	N
1972	ENSG00000125779	44.0	48	20	3869486	3907605	1	0.9166666666666666	Y
1973	ENSG00000189099	4.0	4	4	152198323	152212605	1	1.0	N
1974	ENSG00000133216	27.0	48	1	23037332	23241818	1	0.5625	N
1975	ENSG00000196796	1.0	45	16	29049923	29064047	1	0.022222222222222223	N
1976	ENSG00000138709	12.0	48	4	128982423	129144086	1	0.25	N
1977	ENSG00000124802	45.0	48	6	8073593	8102811	-1	0.9375	Y
1978	ENSG00000117481	32.0	48	1	46805849	46830824	1	0.6666666666666666	N
1979	ENSG00000055118	31.0	48	7	150642049	150675403	-1	0.6458333333333334	N
1980	ENSG00000169933	5.0	31	X	12156585	12742642	1	0.16129032258064516	Y
1981	ENSG00000155974	30.0	46	12	66741211	67197966	-1	0.6521739130434783	Y
1982	ENSG00000183248	37.0	46	19	7933605	7939326	-1	0.8043478260869565	Y
1983	ENSG00000088053	46.0	47	19	55525073	55549632	-1	0.9787234042553191	Y
1984	ENSG00000108599	48.0	48	17	19807615	19881656	-1	1.0	N
1985	ENSG00000123810	45.0	48	19	41860326	41870078	-1	0.9375	Y
1986	ENSG00000085365	48.0	48	5	77656339	77776562	1	1.0	Y
1987	ENSG00000116096	27.0	48	2	73114489	73119287	1	0.5625	N
1988	ENSG00000163631	43.0	48	4	74262831	74287129	1	0.8958333333333334	N
1989	ENSG00000165816	17.0	42	10	115999018	116051272	1	0.40476190476190477	N
1990	ENSG00000196900	1.0	4	5	125967414	125971979	1	0.25	N
1991	ENSG00000007541	45.0	48	16	616995	634136	1	0.9375	Y
1992	ENSG00000142937	48.0	48	1	45240923	45244451	1	1.0	N
1993	ENSG00000254206	42.0	48	16	29392675	29415350	-1	0.875	Y
1994	ENSG00000181472	19.0	48	6	151685252	151712683	-1	0.3958333333333333	N
1995	ENSG00000164142	28.0	46	4	152330368	152584784	1	0.6086956521739131	Y
1996	ENSG00000136877	48.0	48	9	130556876	130576606	1	1.0	Y
1997	ENSG00000132963	2.0	48	13	29233241	29253062	1	0.041666666666666664	N
1998	ENSG00000255038	8.0	47	11	65834748	65837090	-1	0.1702127659574468	N
1999	ENSG00000145996	48.0	48	6	20534688	21232635	1	1.0	Y
2000	ENSG00000101911	26.0	48	X	12809474	12842341	1	0.5416666666666666	N
2001	ENSG00000104067	23.0	48	15	29991571	30261068	-1	0.4791666666666667	Y
2002	ENSG00000155868	23.0	48	5	156564423	156586030	-1	0.4791666666666667	N
2003	ENSG00000089041	46.0	48	12	121570622	121623876	1	0.9583333333333334	Y
2004	ENSG00000171017	10.0	21	19	7953390	7966901	1	0.47619047619047616	Y
2005	ENSG00000126500	46.0	48	11	63870660	63886645	1	0.9583333333333334	Y
2006	ENSG00000186665	41.0	48	17	65987217	65989765	-1	0.8541666666666666	Y
2007	ENSG00000128656	33.0	48	2	175664091	175870097	-1	0.6875	Y
2008	ENSG00000204420	23.0	47	6	31686371	31694491	1	0.48936170212765956	N
2009	ENSG00000155906	48.0	48	6	151725989	151773259	-1	1.0	N
2010	ENSG00000117013	45.0	48	1	41249684	41306124	1	0.9375	Y
2011	ENSG00000117480	48.0	48	1	46859937	46879520	1	1.0	N
2012	ENSG00000248098	48.0	48	19	41884215	41930910	1	1.0	N
2013	ENSG00000183336	48.0	48	16	29464914	29466285	-1	1.0	Y
2014	ENSG00000139508	48.0	48	13	29274201	29293107	-1	1.0	N
2015	ENSG00000175115	48.0	48	11	65837834	66012218	1	1.0	Y
2016	ENSG00000261652	48.0	48	15	55700746	55710962	1	1.0	N
2017	ENSG00000170921	22.0	48	17	61086917	61505060	1	0.4583333333333333	Y
2018	ENSG00000113368	5.0	48	5	126112315	126172712	1	0.10416666666666667	Y
2019	ENSG00000113263	42.0	45	5	156569944	156682201	1	0.9333333333333333	N
2020	ENSG00000196166	7.0	17	8	38368352	38386180	-1	0.4117647058823529	Y
2021	ENSG00000135241	47.0	48	7	108110866	108210110	-1	0.9791666666666666	N
2022	ENSG00000112357	48.0	48	6	137143717	137235075	1	1.0	N
2023	ENSG00000164236	8.0	46	5	10564442	10650308	1	0.17391304347826086	Y
2024	ENSG00000168439	1.0	48	11	63952744	63972015	1	0.020833333333333332	N
2025	ENSG00000118298	9.0	47	1	150229554	150237478	1	0.19148936170212766	N
2026	ENSG00000101236	47.0	48	20	3907956	3996229	-1	0.9791666666666666	Y
2027	ENSG00000113319	46.0	48	5	80256491	80525975	1	0.9583333333333334	Y
2028	ENSG00000187231	25.0	48	2	179966419	180129517	-1	0.5208333333333334	Y
2029	ENSG00000158296	36.0	47	20	45186463	45304714	-1	0.7659574468085106	Y
2030	ENSG00000152804	42.0	48	10	94447945	94455403	1	0.875	Y
2031	ENSG00000075407	48.0	48	10	38383264	38414472	1	1.0	N
2032	ENSG00000177106	46.0	48	11	694438	727727	1	0.9583333333333334	Y
2033	ENSG00000076984	42.0	48	19	7968728	7979363	1	0.875	N
2034	ENSG00000106483	13.0	48	7	37945543	38065297	-1	0.2708333333333333	Y
2035	ENSG00000256061	48.0	48	15	55702723	55800432	-1	1.0	N
2036	ENSG00000174437	23.0	48	12	110718561	110788898	1	0.4791666666666667	N
2037	ENSG00000180475	1.0	4	11	57995354	57996390	-1	0.25	N
2038	ENSG00000146386	48.0	48	6	139349819	139364439	1	1.0	N
2039	ENSG00000156110	48.0	48	10	75910960	76469061	1	1.0	Y
2040	ENSG00000171219	29.0	48	11	64590859	64612041	-1	0.6041666666666666	N
2041	ENSG00000055211	48.0	48	6	149887430	149912884	1	1.0	N
2042	ENSG00000142959	21.0	48	1	45249257	45253377	-1	0.4375	N
2043	ENSG00000061918	47.0	48	4	156680144	156728743	1	0.9791666666666666	N
2044	ENSG00000166266	47.0	48	11	107879459	107978503	1	0.9791666666666666	N
2045	ENSG00000109472	39.0	48	4	166282346	166419472	1	0.8125	Y
2046	ENSG00000132938	7.0	44	13	29598748	30077892	1	0.1590909090909091	Y
2047	ENSG00000183765	30.0	48	22	29083731	29138410	-1	0.625	Y
2048	ENSG00000215193	47.0	48	22	18560689	18613905	1	0.9791666666666666	Y
2049	ENSG00000257108	23.0	48	16	616996	619495	1	0.4791666666666667	N
2050	ENSG00000101204	21.0	24	20	61975420	62009753	-1	0.875	Y
2051	ENSG00000141295	48.0	48	17	45915058	45918699	-1	1.0	N
2052	ENSG00000187323	9.0	25	18	49866542	51057784	1	0.36	Y
2053	ENSG00000112406	8.0	48	6	139456249	139501939	1	0.16666666666666666	N
2054	ENSG00000184350	16.0	36	11	3248928	3253616	-1	0.4444444444444444	N
2055	ENSG00000196664	35.0	45	X	12885202	12908499	1	0.7777777777777778	N
2056	ENSG00000110031	48.0	48	11	58294344	58345693	-1	1.0	N
2057	ENSG00000059691	48.0	48	4	152591656	152682175	-1	1.0	N
2058	ENSG00000135638	2.0	24	2	73143389	73162020	1	0.08333333333333333	Y
2059	ENSG00000167083	48.0	48	17	47280153	47287936	-1	1.0	N
2060	ENSG00000145833	28.0	48	5	134094469	134190823	1	0.5833333333333334	N
2061	ENSG00000014257	32.0	48	3	132036211	132087142	1	0.6666666666666666	N
2062	ENSG00000173065	18.0	48	17	27082996	27182250	-1	0.375	Y
2063	ENSG00000161509	31.0	48	17	72838162	72857627	-1	0.6458333333333334	N
2064	ENSG00000010270	47.0	48	7	38217824	38270272	1	0.9791666666666666	N
2065	ENSG00000138190	24.0	48	10	94590935	94819250	1	0.5	N
2066	ENSG00000213079	45.0	48	6	155054459	155155192	1	0.9375	Y
2067	ENSG00000163632	3.0	41	3	63805038	63834312	1	0.07317073170731707	N
2068	ENSG00000164440	41.0	48	6	139561198	139613276	-1	0.8541666666666666	Y
2069	ENSG00000088826	25.0	48	20	4101627	4168394	1	0.5208333333333334	Y
2070	ENSG00000131771	13.0	48	17	37782993	37792879	1	0.2708333333333333	N
2071	ENSG00000173846	7.0	48	1	45265897	45271662	1	0.14583333333333334	N
2072	ENSG00000197562	48.0	48	16	639357	679272	1	1.0	Y
2073	ENSG00000124596	40.0	48	6	41001366	41065526	-1	0.8333333333333334	N
2074	ENSG00000101916	45.0	46	X	12924739	12941288	1	0.9782608695652174	N
2075	ENSG00000187950	39.0	41	12	29565407	29650619	-1	0.9512195121951219	Y
2076	ENSG00000151952	7.0	26	12	129556270	130388211	-1	0.2692307692307692	Y
2077	ENSG00000162456	7.0	13	1	47011316	47017199	-1	0.5384615384615384	N
2078	ENSG00000171016	42.0	46	15	55831088	55881145	-1	0.9130434782608695	N
2079	ENSG00000038295	5.0	45	4	166794410	167025047	1	0.1111111111111111	Y
2080	ENSG00000164530	45.0	48	6	36922209	36932613	1	0.9375	N
